id,text,text_clean,label_inset_lexicon,label_manual,catatan
10101,mending gua aja dah yg jadi presiden,mending gua saja presiden,Negatif,Negatif,
3001,ternyata sama wakilnya,nyata sama wakil,Netral,Netral,
6886,hore dolar naik lagi indonesia hebat,hore dolar naik indonesia hebat,Netral,Negatif,
10007,untung dulu gua gak milih dia,untung dulu gua tidak pilih,Negatif,Negatif,
3300,ini contoh manusia sakitbrjelas kan,contoh manusia sakitbrjelas,Positif,Negatif,
6913,lah wong tahu tempe aja dari kedelai impor dari usabrgaramguladsb imporbrbarang impor wajib bayar pake dollar wokbrdual inflasi lah wokbrdari dollar plus dari minyak amp turunan nya plastiklpgpupukdsbbrbryang belum naik mah data ekonomi abs di bawah naik semuabrmacbook iphone pun naik,wong tahu tempe saja kedelai impor usabrgaramguladsb imporbrbarang impor wajib bayar pakai dollar wokbrdual inflasi wokbrdari dollar plus minyak turun plastiklpgpupukdsbbrbryang belum naik mah data ekonomi habis bawah naik semuabrmacbook iphone naik,Negatif,Negatif,
933,rakyat hidup di desabrbrakyat di desa nggak pake dollarbbrheidup prabowobrlanjutken pidatonya,rakyat hidup desabrbrakyat desa tidak pakai dollarbbrheidup prabowobrlanjutken pidato,Negatif,Negatif,
34,yg ngmng badud,omong badud,Negatif,Negatif,
305,public speakingnya masih terpengaruh nuansa militeragak sombong sih,public speakingnya masih pengaruh nuansa militeragak sombong,Negatif,Negatif,
8031,pantesan orang desa di indonesia miskin terus dan gampang dibodohin ngga pegang dolar sih jadi uangnya cuma bisa beli makan doang dan ngga bisa buat mengasah otak,pantesan desa indonesia miskin terus gampang dibodohin tidak pegang dolar uang cuma beli makan doang tidak buat asah otak,Negatif,Negatif,
2246,pejabat mana ngerasain rupiah anjlok,jabat mana rasai rupiah anjlok,Negatif,Negatif,
7922,beginilah salah pilih presidenresiko buat rakyat indonesia,begini salah pilih presidenresiko buat rakyat indonesia,Negatif,Negatif,
3843,selalu menyalahkan pihak pihak lain,selalu salah pihak pihak lain,Negatif,Negatif,
