text,text_clean
presiden terburuk sepanjnag sejarah asli parah,presiden buruk sepanjnag sejarah asli parah
banyak orang yang pintar ituu di sana tapi semua ikut ikutan bego demi apa coba jawab,pintar ikut bego demi jawab
siapa yg pilih wowo kemarin,pilih prabowo kemarin
ulah si prabowo karena ada dendam pribadi hancurkan indo membuat indo dalam situasi bahaya besar sebab rakyat sendiri udh besaran ngak percaya rupiah yg pastinya keadaan indo kedepan sdh pasti akan semakin buruk amp hancur sehingga mata uang rupiah bakal hancur membuat rakyat besar akan membeli valas besaran sampai hal yg terburuk indo akan bubar spt yg didoakan si prabowo sblm jadi presiden amp ucapan nya adalah doa,ulah prabowo dendam pribadi hancur indonesia buat indonesia dalam situasi bahaya besar rakyat sendiri besar tidak percaya rupiah pasti ada indonesia depan pasti makin buruk hancur mata uang rupiah bakal hancur buat rakyat besar beli valas besar sampai hal buruk indonesia bubar doa prabowo belum presiden ucap doa
kalau saya yakin yg maha kuasa cuma beri waktu untuk para korupsi merasa berkuasa dulu sebelum pembalasan tiba karna dia tidak tidur tidak istirahat tidak makan dia selalu mengawasi dan tiada satu orang pun lepas dari pengawasannya siksanya jauh lebih pedih,yakin maha kuasa cuma beri waktu para korupsi rasa kuasa dulu belum balas tiba tidak tidur tidak istirahat tidak makan selalu awas tiada satu lepas awas siksa jauh lebih pedih
seharusnya minta maaf dulu karena gak bisa mimpin dan kasih solusi pak,harus minta maaf dulu tidak mimpin kasih solusi bapak
kalo ga kompeten jd presiden turun aja bro gausah bikin orang makin susah,tidak kompeten presiden turun saja tidak usah makin susah
omon omon itu itu lah,omon omon
stresssss jawab ngatakan org desa lagi,stresssss jawab ngatakan desa
setuju paknaik dolar itu yang panik orang orang kaya amp pengusahakarena mereka gak mau rugi beli bahan baku produksi bahan lainnyasetuju pakkalau yang gak ngerti memang salah tafsir justru itu sangat mantap pidato presidenintinya dolar naik itu yang was was orang orang kaya dan pengusaha karena mereka dampaknya untungnya makin sedikit,tuju paknaik dolar panik kayak pengusahakarena tidak mau rugi beli bahan baku produksi bahan lainnyasetuju pakkalau tidak erti memang salah tafsir justru sangat mantap pidato presidenintinya dolar naik was was kayak usaha dampak untung makin sedikit
terus gimana semua naik pakga semua orang desa berkecukupan pakksemua mahal masa perlu ngemis biar dapat uang buat makanumr aja jutaan perbulan emang cukup buat bulan,terus bagaimana naik pakga desa cukup pakksemua mahal masa perlu ngemis biar dapat uang buat makanumr saja juta bulan memang cukup buat bulan
harusnya sadar diri makin sering pidato makin dibenci karena sering blunder,harus sadar diri makin sering pidato makin benci sering blunder
udah d bilang yg mimpin indonesia yang muda kayak anies baswedan atau ganjar kalian pada gak mau asyik nya malah oke gas oke gas yg dipilih kan jadi milih juga kami nya,bilang mimpin indonesia muda kayak anies baswedan ganjar kalian tidak mau asyik malah gas gas pilih pilih
